"产品图文报价单
Offer Sheet",,,,,,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"承载车辆：1台车
Vehicle Capacity: 6 Vehicles",,,"承载人数：16人
Capacity: 16Persons",,,,,
,"承载人数：16人
Capacity: 16 Persons",,,,,,,,
,,,,,,,,,
,"￥188,000 ",,,"￥228,000 ",,,,,
,"品名：星河护卫队
Name: Moe Duck Land",,,"品名：弹跳气囊
Name: Moe Duck Land",,,,,
,"规格型号：直径14M*高6M（含围栏）
Size: Diameter 10M * Height 6.3M (Including Fence)",,,"规格型号：直径9.5M*高6.2M（含围栏）
Size: L9.5M*W6.2M(Including Fence)",,,,,
,"功率：12KW
Power: 12KW",,,"功率：8KW
Power: 8KW",,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"承载车辆：12台车
Vehicle Capacity: 6 Vehicles",,,"承载车辆：8台车
Vehicle Capacity: 6 Vehicles",,,,,
,"承载人数：24人
Capacity: 24Persons",,,"承载人数：16人
Capacity: 16 Persons",,,,,
,,,,,,,,,
,"￥380,000 ",,,"￥188,000 ",,,,,
,"品名：秋千
Name: Moe Duck Land",,,"品名：喷球车
Name: Moe Duck Land",,,,,
,"规格型号：长8M*宽7M*H6M（含围栏）
Size: L8M*W7M*H6M(Including Fence)",,,"规格型号：直径7M*高6M（含围栏）
Size: Diameter 8M * Height 4.9M (Including Fence)",,,,,
,"功率：6KW
Power: 6KW",,,"功率：12KW
Power: 12KW",,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"承载人数：20人
Capacity: 20 Persons",,,"承载车辆：8台车
Vehicle Capacity: 8 Vehicles",,,,,
,,,,"承载人数：16人
Capacity: 16 Persons",,,,,
,,,,,,,,,
,"￥178,000 ",,,"￥138,000 ",,,,,
,"品名：穿越火线
Name: CrossFire",,,"品名：越野战车
Name: Off-road vehicle",,,,,
,"规格型号：长9.75M*宽4M*H6.85M（含围栏）
Size: L9.75M*W4M*H6.85M(Including Fence)",,,"规格型号：直径10M*高5.5M（含围栏）
Size: Diameter 10M * Height 505M (Including Fence)",,,,,
,"功率：7KW
Power: 7KW",,,"功率：12KW
Power: 12KW",,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"承载人数：24人
Capacity: 24 Persons",,,"承载人数：24人（840KG）
Capacity: 24 Persons(840KG)",,,,,
,,,,"设备自重：约2,500KG
Equipment Weight: About 2,500KG",,,,,
,,,,"地面称重要求：>250kgf/㎡
Ground Weighing Requirement: >250kgf/㎡",,,,,
,"￥218,000 ",,,"￥198,000 ",,,,,
,"品名：超能战士
Name: Moe Duck Land",,,"品名：旋转飞机
Name: ",, ,,,
,"规格型号：直径8M*高4.9M（含围栏）
Size: Diameter 8M * Height 4.9M (Including Fence)",,,"规格型号：直径9.5M*高6.2M（含围栏）
Size: L9.5M*W6.2M(Including Fence)",,,,,
,"功率：12KW
Power: 12KW",,,"功能描述：电压：380V      功率：8KW
Function Description: Voltage:280V  Power: 45KW",,,,,
,"电压：380V
Voltage: 380V",,,承载人数：16人                            Capacity:16 Persons,,,,,
,"承载车辆：6台车
Vehicle Capacity: 6 Vehicles",,,,,,,,
,"承载人数：12人
Capacity: 12 Persons",,,,,,,,
,,,,,,,,,
,"￥188,000 ",,,"￥188,000 ",,,,,
,"品名：环球滑翔
Name: FI YING",,,"品名：时空涡流
Name:Global spinningcup",,,,,
,"规格型号：直径10M*高6M
Size: Diameter 8M * Height 6M (Including Fence)",,,"规格型号：直径13M*高6.3M（含围栏）
Size: Diameter 10M * Height 6.3M (Including Fence)",,,,,
,"设备运行高度：1.98M
 Equipment Operating Height: 1.98M",,,"总功率：5KW         电压：380V50Hz
Total Power: 5KW   Voltage: 380V50Hz",,,,,
,"电压：380V
Voltage: 380V",,,"旋转电机功率：3KW 电机与功率：2KW
Rotary Motor Power: 3KW Motor and Power: 2KW",,,,,
,"功率：8KW
Power: 8KW",,,"回转速度：<3.4RPM
Slewing Speed: <3.4RPM",,,,,
,"承载人数：16人
Capacity: 16 Persons",,,"地面称重要求：>250kgf/㎡
Ground Weighing Requirement: >250kgf/㎡",,,,,
,"设备重量：5,000KG
Equipment Weight: 5,000KG",,,"承载人数：32人
Capacity: 32 Persons",,,,,
,"
￥188000",,,"￥328,000",,,,,
,"品名：海神号
Name: Poseidon",,,"品名：旋转飞椅
Name: Spinnig Ferris Wheel",,,,,
,"规格型号：长15M*宽10M*高6M
Size: L15M*W10M*H6M",,,"规格型号：直径8M*高7.2M（含围栏）
Size: Diameter 8M * Height 7.2M (Including Fence)",,,,,
,"设备运行高度：1.98M
 Equipment Operating Height: 1.98M",,,"设备运行高度：1.98M
 Equipment Operating Height: 1.98M",,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"功率：8KW
Power: 8KW",,,"功率：8KW
Power: 8KW",,,,,
,"承载人数：24人
Capacity: 24 Persons",,,"承载人数：24人
Capacity: 24 Persons",,,,,
,"设备重量：5,000KG
Equipment Weight: 5,000KG",,,"设备重量：5,000KG
Equipment Weight: 5,000KG",,,,,
,￥218000,,,"￥168,000",,,,,
,"品名：穿越时空
Name: Interstellar",,,"品名：幸运转马
Name: Lucky Carousel",,,,,
,"规格型号：长15M*宽10M*高6M
Size: L15M*W10M*H6M",,,"规格型号：直径8M*高6.3M（含围栏）
Size: Diameter 8M * Height 6.3M (Including Fence)",,,,,
,"设备运行高度：1.98M
 Equipment Operating Height: 1.98M",,,"总功率：5KW         电压：380V50Hz
Total Power: 5KW   Voltage: 380V50Hz",,,,,
,"电压：380V
Voltage: 380V",,,"旋转电机功率：3KW 电机与功率：2KW
Rotary Motor Power: 3KW Motor and Power: 2KW",,,,,
,"功率：8KW
Power: 8KW",,,"回转速度：<3.4RPM
Slewing Speed: <3.4RPM",,,,,
,"承载人数：18人
Capacity: 18 Persons",,,"地面称重要求：>250kgf/㎡
Ground Weighing Requirement: >250kgf/㎡",,,,,
,"设备重量：5,000KG
Equipment Weight: 5,000KG",,,"承载人数：16人
Capacity: 16 Persons",,,,,
,"
￥218000",,,"￥158,000",,,,,
,"品名：浪漫拾光转马
Name: Romantic Carousel",,,"品名：海盗船
Name: Pirate ship",,,,,
,"规格型号：直径8M*高6.3M（含围栏）
Size: Diameter 8M * Height 6.3M (Including Fence)",,,"规格型号：长8M*宽5M*H4.5M（含围栏）
Size: L8M*W5M*H4.5M(Including Fence)",,,,,
,"总功率：5KW          电压：380V50Hz
Total Power: 5KW     Voltage: 380V50Hz",,,"功率：6KW
Power: 6KW",,,,,
,"旋转电机功率：3KW 电机与功率：2KW
Rotary Motor Power: 3KW Motor and Power: 2KW",,,"电压：380V
Voltage: 380V",,,,,
,"回转速度：<3.4RPM
Slewing Speed: <3.4RPM",,,"承载人数：20人
Capacity: 20 Persons",,,,,
,"地面称重要求：>250kgf/㎡
Ground Weighing Requirement: >250kgf/㎡",,,,,,,,
,"承载人数：16人
Capacity: 16 Persons",,,,,,,,
,"￥158,000 ",,,"￥128000
",,,,,
,"品名：宇航员自控飞机
Name: Astronaut Self-Control Aircraft",,,"品名：梦幻星网红秋千
Name: Fantasy Star Internet celebrity swing",,,,,
,"规格型号：直径8M*高4.9M（含围栏）
Size: Diameter 8M * Height 4.9M (Including Fence)",,,"规格型号：长8M*宽7M*H6M（含围栏）
Size: L8M*W7M*H6M(Including Fence)",,,,,
,"功率：12KW
Power: 12KW",,,"功率：6KW
Power: 6KW",,,,,
,"电压：380V
Voltage: 380V",,,"电压：380V
Voltage: 380V",,,,,
,"承载人数：12人（840KG）
Capacity: 12 Persons(840KG)",,,"承载人数：20人
Capacity: 20 Persons",,,,,
,"设备自重：约2,500KG
Equipment Weight: About 2,500KG",,,,,,,,
,"地面称重要求：>250kgf/㎡
Ground Weighing Requirement: >250kgf/㎡",,,,,,,,
,"￥128,000 ",,,"￥138000
",,,,,
,"品名：萌鸭乐园
Name: Moe Duck Land",,,"品名：星际探险六人蹦床
Name: Six person trampoline for interstellar exploration",,,,,
,"规格型号：长15M*宽8.5M（含围栏）
Size: L15M*W8.5M(Including Fence)",,,"规格型号：长7M*宽6M*H5.6M
Size: L7M*W6M*H4.6",,,,,
,"功率：12KW
Power: 12KW",,,"功能描述：电压：220V      功率：45KW
Function Description: Voltage:280V  Power: 45KW",,,,,
,"电压：380V
Voltage: 380V",,,承载人数：6人                            Capacity:6 Persons,,,,,
,"承载车辆：6台车
Vehicle Capacity: 6 Vehicles",,,,,,,,
,"承载人数：12人
Capacity: 12 Persons",,,,,,,,
,,,,,,,,,
,"￥128,000 ",,,"￥68,000 ",,,,,
,"品名：夏日幻想单人蹦床
Name: Magic Castle Water Rafting",,,"品名：天空弹跳单人蹦床
Name: Six person trampoline for interstellar exploration",,,,,
,"规格型号：长4.62M*宽2.3M*高4.63M
Size: L14.62M*W2.3M*H4.63M",,,"规格型号：长4.4M*宽2.88M*H5.2M
Size: L4.4M*W2.88M*H5.2",,,,,
,"功能描述：电压：220V      功率：300W
Function Description: Voltage:220V  Power: 300W",,,"功能描述：电压：220V      功率：45KW
Function Description: Voltage:280V  Power: 45KW",,,,,
,承载人数：1人                            Capacity:1 Persons,,,承载人数：1人                            Capacity:1 Persons,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥7800
",,,"￥7,800 ",,,,,
,"品名：哒哒鸭小火车
Name: Koduck Mini Train",,,"品名：太空队小火车
Name: Space Mini Train",,,,,
,"规格型号：长12M*宽1.2M*高1.4M-1.6M
Size: L12M*W1.2M*H1.4-1.6M",,,"规格型号：长12M*宽1.2M*高1.4M
Size: L12M*W1.2M*H1.4M",,,,,
,"功率：2.5KW电机
Power: 2.5KW Motor",,,"功率：2.5KW电机
Power: 2.5KW Motor",,,,,
,"电源：2组48V120AH磷酸铁锂电池
Power Supply: 2 Sets of 48V120AH Lithium Iron Phosphate Batteries",,,"电源：2组48V120AH磷酸铁锂电池
Power Supply: 2 Sets of 48V120AH Lithium Iron Phosphate Batteries",,,,,
,"承载人数：21人含驾驶员
Capacity:21 Persons(Including Driver)",,,"承载人数：11人含驾驶员
Capacity: 11 Persons(Including Driver)",,,,,
,"驾驶方式： 一拖五
Drive Method: The Front Vehicle Drives The Rest",,,"驾驶方式： 一拖五
Drive Method: The Front Vehicle Drives The Rest",,,,,
,"￥88,000 ",,,"￥88,000 ",,,,,
,"品名：旋风飞车
Name: Tornado Racing Car",,,"品名：Q萌飞车
Name：Q Moe Racing Car",,,,,
,"规格型号：长1.6M*宽1.1M*高0.85M
Size: L1.6M*W1.1M*H0.85M",,,"规格型号：长1.65M*宽0.9M*高1.02M
Size: L1.65M*W0.9M*H1.02M",,,,,
,"功能描述：功率350W电机
Function Description: 350W Motor",,,"功能描述：功率350W电机
Function Description: 350W Motor",,,,,
,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,,,
,"承载人数：2人
Capacity: 2 Persons",,,"承载人数：2人
Capacity: 2 Persons",,,,,
,"载重：150KG
Capacity: 150KG",,,"载重：150KG
Capacity: 150KG",,,,,
,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥8,800 ",,,"￥6,800 ",,,,,
,"品名：越野战车
Name：Off-Road Tank",,,"品名：急速飞车
Name：Super Racing Car",,,,,
,"规格型号：长1.8M*宽1.1M*高0.72M
Size: L1.8M*W1.1M*H0.72M",,,"规格型号：长1.7M*宽1.1M*高0.95M
Size: L1.7M*W1.1M*H0.95M",,,,,
,"功能描述：功率350W电机
Function Description: 350W Motor",,,"功能描述：功率350W电机
Function Description: 350W Motor",,,,,
,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,,,
,"承载人数：2人
Capacity: 2 Persons",,,"承载人数：2人
Capacity: 2 Persons",,,,,
,"载重：150KG
Capacity: 150KG",,,"载重：150KG
Capacity: 150KG",,,,,
,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥9,800 ",,,"￥8,800 ",,,,,
,"品名：赛赢飞车
Name：Victory Racing Car",,,"品名：大眼酷飞车
Name：Big Eyes Racing Car",,,,,
,"规格型号：长1.8M*宽1.1M*高1.08M
Size: L1.8M*W1.1M*H1.08M",,,"规格型号：长1.7M*宽1.1M*高0.8M
Size: L1.7M*W1.1M*H0.8M",,,,,
,"功能描述：功率350W电机
Function Description: 350W Motor",,,"功能描述：功率350W电机
Function Description: 350W Motor",,,,,
,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,,,
,"承载人数：2人
Capacity: 2 Persons",,,"承载人数：2人
Capacity: 2 Persons",,,,,
,"载重：150KG
Capacity: 150KG",,,"载重：150KG
Capacity: 150KG",,,,,
,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥8,800 ",,,"￥8,800 ",,,,,
,"品名：急速漂移碰碰车
Name: Speeding Drift Bumper Car",,,"品名：喵核碰碰车
Name: Victory Drift Bumper Car",,,,,
,"规格型号：长1.5M*宽0.9M*高0.7M
Size: L1.5M*W0.9M*H0.7M",,,"规格型号：长1920M*宽1120M*高1000M
Size: L1.5M*W0.9M*H0.7M",,,,,
,"电池配置：4个48V20AH超威动力电池
Power: 4 48V20AH CHILWEE Batteries",,,"电池配置：4个48V20AH超威动力电池
Power: 4 48V20AH CHILWEE Batteries",,,,,
,"行驶速度：6-20KM/H 搭载软件无极低速
Speed: 6-20KM/H Equipped With Automatic Deceleration",,,"行驶速度：6-20KM/H 搭载软件无极低速
Speed: 6-20KM/H Equipped With Automatic Deceleration",,,,,
,"电机：48V500W无刷钢齿电机
Motor: 48V500W Brushless Steel Teeth Motor",,,"电机：48V500W无刷钢齿电机
Motor: 48V500W Brushless Steel Teeth Motor",,,,,
,"运行时间：6-7小时   机台净重：80KG
Runtime: 6-7 Hours     Weight: 80KG",,,"运行时间：6-7小时   机台净重：80KG
Runtime: 6-7 Hours     Weight: 80KG",,,,,
,"载重：150KG             其它配置：智能安全带灯光音乐
Capacity: 150 KG        Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"载重：150KG             其它配置：智能安全带灯光音乐
Capacity: 150 KG        Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥8,300 ",,,"￥9,800 ",,,,,
,"品名：旋风飞车
Name: Tornado Racing Car",,,"品名：狂飙漂移碰碰车
Name：Wild Drift Bumper Car",,,,,
,"规格型号：长1.7M*宽1.1M*高0.95M
Size: L1.7M*W1.1M*H0.95M",,,"规格型号：长1.5M*宽0.9M*高0.7M
Size: L1.5M*W0.9M*H0.7M",,,,,
,"功能描述：功率350W电机
Function Description: 350W Motor",,,"电池配置：4个48V20AH超威动力电池
Power: 4 48V20AH CHILWEE Batteries",,,,,
,"电源：24V45AH超威电池4个
Power: 4 24V45AH CHILWEE Batteries",,,"行驶速度：6-20KM/H 搭载软件无极低速
Speed: 6-20KM/H Equipped With Automatic Deceleration",,,,,
,"承载人数：2人
Capacity: 2 Persons",,,"电机：48V500W无刷钢齿电机
Motor: 48V500W Brushless Steel Teeth Motor",,,,,
,"载重：150KG
Capacity: 150KG",,,"运行时间：6-7小时   机台净重：80KG
Runtime: 6-7 Hours     Weight: 80KG",,,,,
,"其它配置：智能安全带灯光音乐
Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"载重：150KG             其它配置：智能安全带灯光音乐
Capacity: 150 KG        Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥7,800 ",,,"￥7,800 ",,,,,
,"品名：狂飙漂移碰碰车
Name：Wild Drift Bumper Car",,,"品名：旋风漂移碰碰车
Name: Tornado Drift Bumper Car",,,,,
,"规格型号：长1.5M*宽0.9M*高0.7M
Size: L1.5M*W0.9M*H0.7M",,,"规格型号：长1.5M*宽0.9M*高0.7M
Size: L1.5M*W0.9M*H0.7M",,,,,
,"电池配置：4个48V20AH超威动力电池
Power: 4 48V20AH CHILWEE Batteries",,,"电池配置：4个48V20AH超威动力电池
Power: 4 48V20AH CHILWEE Batteries",,,,,
,"行驶速度：6-20KM/H 搭载软件无极低速
Speed: 6-20KM/H Equipped With Automatic Deceleration",,,"行驶速度：6-20KM/H 搭载软件无极低速
Speed: 6-20KM/H Equipped With Automatic Deceleration",,,,,
,"电机：48V500W无刷钢齿电机
Motor: 48V500W Brushless Steel Teeth Motor",,,"电机：48V500W无刷钢齿电机
Motor: 48V500W Brushless Steel Teeth Motor",,,,,
,"运行时间：6-7小时   机台净重：80KG
Runtime: 6-7 Hours     Weight: 80KG",,,"运行时间：6-7小时   机台净重：80KG
Runtime: 6-7 Hours     Weight: 80KG",,,,,
,"载重：150KG             其它配置：智能安全带灯光音乐
Capacity: 150 KG        Other Configurations: Intelligent Safety Belt、Lighting、Music",,,"载重：150KG             其它配置：智能安全带灯光音乐
Capacity: 150 KG        Other Configurations: Intelligent Safety Belt、Lighting、Music",,,,,
,"￥6,800 ",,,"￥7,800 ",,,,,
,"品名：量子穿梭机
Name：Quantum shuttle",,,"品名：喵核玻璃钢公仔（大）
Name：Miaohe fiberglass figurine (large)",,,,,
,,,,,,,,,
,"规格型号：长6M*宽3M*高4.1M
Size: L6M*W3M*H4.1M",,,"规格型号：长1.45M*宽0.75M*高1.68M
Size: L1.45M*W0.75M*H1.68M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥88,800 ",,,"￥8,000 ",,,,,
,"品名：星核广告牌B
Name：Star Core Billboard B",,,"品名：喵核玻璃钢公仔（小）
Name：Miaohe fiberglass figurine (small)",,,,,
,,,,,,,,,
,"规格型号：长1.32M*宽0.2M*高2.4M
Size: L1.32M*W0.2M*H2.4M",,,"规格型号：长0.587M*宽0.377M*高0.85M
Size: L0.587M*W0.377M*H0.85M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥5,380 ",,,"￥4,000 ",,,,,
,"品名：星核广告牌A
Name：Star Core Billboard A",,,"品名：飞船公仔
Name：Spaceship figurine",,,,,
,,,,,,,,,
,"规格型号：长2.45M*宽0.2M*高2.4M
Size: L2.45M*W0.2M*H2.4M",,,"规格型号：长1.25M*宽1.16M*高1.2M
Size: L1.25M*W1.16M*H1.2M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥6,800 ",,,"￥9,800 ",,,,,
,"品名：星核之门
Name：Star Core Gate",,,"品名：喵核星球（公仔灯箱款）
Name：Mew Core Planet (doll light box model)",,,,,
,,,,,,,,,
,"规格型号：长2M*宽0.2M*高3.58M
Size: L2M*W0.2M*H3.58M",,,"规格型号：直径2.25M*高3.25M
Size: φ2.25M*H3.25M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥12,800 ",,,"￥18,000 ",,,,,
,"品名：喵核星球（公仔玻璃钢款）
Name：Mew Core Planet (doll fiberglass model)",,,"品名：洪荒之力
Name：prehistorical powers",,,,,
,,,,,,,,,
,"规格型号：直径2.25M*高3.25M
Size: φ2.25M*H3.25M",,,"规格型号：长1.3M*宽1.35M*高2.6M
Size: L1.3M*W1.35M*H2.6M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥25,800 ",,,"￥12,800 ",,,,,
,"品名：冲上云霄（公仔灯箱款）
Name：Soar to the sky (doll light box style)",,,"品名：冲上云霄（公仔玻璃钢款）
Name：Soar to the Skies (doll fiberglass model)",,,,,
,,,,,,,,,
,"规格型号：长7.15M*宽0.7M*高3.1M
Size: L7.15M*W0.7M*H3.1M",,,"规格型号：长7.15M*宽0.7M*高3.1M
Size: L7.15M*W0.7M*H3.1M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥35,800 ",,,"￥42,800 ",,,,,
,"品名：喵核护卫站（拓展款）
Name：Meow Nuclear Defense Station (Extended Model)",,,"品名：星际补给站（拓展款）
Name：Interstellar Supply Station (Extended Version)",,,,,
,,,,,,,,,
,"规格型号：长3.9M*宽2M*高3.11M
Size: L3.9M*W2M*H3.11M",,,"规格型号：长3.95M*宽1.4M*高2.2M
Size: L3.95M*W1.4M*H2.2M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥38,800 ",,,"￥38,800 ",,,,,
,"品名：喵核护卫站（非拓展款）
Name：Miaohe Guardian Station (Non-extended version)",,,"品名：星际补给站（非拓展款）
Name：Interstellar Supply Station (Non-Extended Version)",,,,,
,,,,,,,,,
,"规格型号：长2.12M*宽2M*高3.11M
Size: L2.12M*W2M*H3.11M",,,"规格型号：长2.55M*宽1.4M*高2.2M
Size: L2.55M*W1.4M*H2.2M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
,"￥28,800 ",,,"￥28,800 ",,,,,
,"品名：核能光环套装2
Name：Nuclear Aura Set 2",,,"品名：星河之眼款式3
Name：Galaxy Eye Style 3",,,,,
,,,,,,,,,
,"规格型号：长3.9M*宽0.4M*高3.65M
Size: L3.9M*W0.4MM*H3.65M",,,"规格型号：直径1M*高3.35M
Size: φ1M*H3.35M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥26,500 ",,,"￥7,800 ",,,,,
,"品名：明日世界套装1
Name：Tomorrow's World Set 1",,,"品名：明日世界套装2
Name：Tomorrow's World Set 2",,,,,
,,,,,,,,,
,"规格型号：长1.8M*宽1.45M*高3.5M
Size: L1.8M*W1.45M*H3.5M",,,"规格型号：长2.88M*宽0.65M*高3M
Size: L2.88M*W0.65M*H3M",,,,,
,,,,"规格型号：长2.88M*宽1.05M*高3M
Size: L2.88M*W1.05M*H3M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥26,800 ",,,"￥26,800 ",,,,,
,"品名：核光桥方案
Name：Nucleo light bridge solution (single figurine light box model)",,,"品名：精神堡垒1（户外灯箱款）
Name：Spiritual Fortress 1 (Outdoor Light Box Model)",,,,,
,,,,,,,,,
,"规格型号：长7.5M*宽1M*高4.92M
Size: L7.5M*W1M*H4.92M",,,"规格型号：直径1.61M*高4.82M
Size: φ1.61M*H4.82M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥46,800 ",,,"￥32,800 ",,,,,
,"品名：星辰之际（玻璃钢公仔款）
Name：""Stars in the Sky"" (glass fiber reinforced plastic figurine style)",,,"品名：星辰之际（灯箱款）
Name：""Starry Night"" (Light Box Version)",,,,,
,,,,,,,,,
,"规格型号：长5.5M*宽0.5M*高4.8M
Size: L5.5M*W0.5M*H4.8M",,,"规格型号：长5.5M*宽0.5M*高4.8M
Size: L5.5M*W0.5M*H4.8M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥18,800 ",,,"￥16,800 ",,,,,
,"品名：量子矩阵
Name：Quantum matrix",,,"品名：时光裂缝
Name：Time rift",,,,,
,,,,,,,,,
,"规格型号：直径2.25M*高2.55M
Size: φ2.25M*H2.55M",,,"规格型号：直径2.25M*高2.55M
Size: φ2.25M*H2.55M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥32,800 ",,,"￥32,800 ",,,,,
,"品名：核能站台
Name：Nuclear Power Station",,,"品名：星际回廊套装
Name：Interstellar Corridor Set",,,,,
,,,,,,,,,
,"规格型号：直径4M*高4.5M
Size: φ4M*H4.5M",,,"规格型号：长3.7M*宽0.7M*高3.24M/组，共5组
Size: L3.7M*W0.7M*H3.24M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥38,800 ",,,"￥22,800 ",,,,,
,"品名：极速光轮
Name：Extreme speed optical wheel",,,"品名：幻影之门
Name：Phantom Gate",,,,,
,,,,,,,,,
,"规格型号：长5M*宽1M*高3.79M
Size: L5M*W1M*H3.79M",,,,,,,,
,,,,"规格型号：长5M*宽0.65M*高4.5M
Size: L5M*W0.65M*H4.5M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥16,800 ",,,"￥23,800 ",,,,,
,"品名：精神堡垒2（室内4K广告机款）
Name：""Spirit Fortress 2 (Indoor 4K Advertising Machine Model)""",,,"品名：精神堡垒1（室内4K广告机款）
Name：Spiritual Fortress 1 (Indoor 4K Advertising Machine Model)",,,,,
,,,,,,,,,
,"规格型号：直径2.87M*高4.5M
Size: φ2.87M*H4.5M",,,"规格型号：直径1.61M*高4.82M
Size: φ1.61M*H4.82M",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"￥38,000 ",,,"￥44,800 ",,,,,
,"品名：精神堡垒2（户外灯箱款）
Name：Spirit Fortress 2 (Outdoor Light Box Model)",,,,,,,,
,,,,,,,,,
